,x,y,school_name,number_vce_subjects,satisfactory_complete_vce_percent,median_study_score,study_score_over_40_percent,percentage_applying_to_victorian_uni
216,145.1686,-38.22726,somerville secondary college,29.0,94.0,28.0,7.186514522821577,50.0
217,143.72695,-36.11022,boort district p school,29.0,94.0,28.0,3.6,72.0
218,146.00667,-36.02144,yarrawonga college p,30.0,98.0,26.0,3.7,43.0
219,145.14112,-37.02984,seymour college,42.0,100.0,25.0,1.8,69.0
220,142.07131,-34.16937,merbein p college,5.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
221,144.94736,-37.84479,albert park college,57.0,99.0,31.0,6.3,83.0
222,145.05865,-37.72897,charles la trobe p college,11.0,71.0,28.7569573283859,7.186514522821577,14.0
223,145.05865,-37.72897,charles la trobe p college,37.0,97.0,25.0,7.186514522821577,95.0
224,147.72403,-37.26684,swifts creek p school,15.0,100.0,31.0,4.0,71.0
225,144.925,-37.7047,glenroy secondary college,25.0,82.0,22.0,7.186514522821577,47.0
226,145.08833,-37.60485,mernda central p college,52.0,99.0,28.0,3.2,68.0
227,144.35571,-38.07841,northern bay p college,34.0,90.0,23.0,0.7,51.0
228,142.36603,-35.73487,hopetoun p college,12.0,100.0,24.0,7.186514522821577,17.0
229,145.41097,-38.07202,officer secondary college,55.0,84.0,25.0,0.9,58.0
230,144.74028,-37.73102,lakeview senior college,58.0,92.0,28.0,3.2,72.0
231,145.29327,-37.8583,boronia k college,36.0,79.0,23.0,1.0,38.0
232,145.96385,-36.55337,benalla p college,30.0,84.0,23.0,7.186514522821577,36.0
233,144.98214,-37.84883,wesley college,40.0,99.0,31.0,5.4,98.0
234,144.98214,-37.84883,wesley college,33.0,100.0,31.0,7.2,94.0
235,145.05464,-37.86145,korowa anglican girls school,34.0,100.0,36.0,29.0,99.0
236,145.06698,-37.69018,parade college,60.0,99.0,30.0,4.5,72.0
237,144.95288,-37.80597,simonds catholic college,28.0,87.0,28.0,1.7,92.0
238,144.997,-37.85936,st marys college melbourne,44.0,99.0,31.0,6.4,71.0
239,143.82347,-37.55686,loreto college,50.0,100.0,31.0,6.1,74.0
240,145.03918,-37.81111,ruyton girls school,38.0,100.0,37.0,31.4,100.0
241,145.00489,-37.87738,caulfield grammar school,46.0,99.0,33.0,18.8,98.0
242,145.00489,-37.87738,caulfield grammar school,53.0,99.0,33.0,17.2,96.0
243,144.94763,-37.30101,assumption college,88.0,99.0,27.0,2.1,58.0
244,144.27336,-36.75344,catherine mcauley college,57.0,100.0,29.0,4.0,78.0
245,145.05157,-37.86175,sacre coeur,30.0,100.0,36.0,27.0,99.0
246,145.14092,-37.0199,st marys college,1.0,95.62891986062718,28.7569573283859,7.186514522821577,67.05434782608695
247,144.34015,-38.1495,sacred heart college,24.0,100.0,27.0,7.186514522821577,81.0
248,144.99678,-37.89673,star of the sea college,57.0,100.0,34.0,13.5,98.0
249,145.03849,-37.81395,methodist ladies college,54.0,100.0,33.0,19.6,98.0
250,143.87035,-37.61146,damascus college,56.0,99.0,28.0,3.8,63.0
251,143.83365,-37.55965,ballarat clarendon college,39.0,100.0,39.0,45.8,94.0
252,144.45882,-37.25289,sacred heart college,24.0,100.0,27.0,7.186514522821577,81.0
253,145.97539,-36.55277,fcj college,29.0,98.0,29.0,4.4,62.0
254,145.08033,-37.81516,fintona girls school,34.0,100.0,35.0,27.7,100.0
255,145.02509,-37.85232,lauriston girls school,30.0,100.0,34.0,19.8,97.0
256,145.0311,-37.81386,xavier college,48.0,100.0,33.0,15.7,97.0
257,144.39907,-38.06882,geelong grammar school,38.0,100.0,32.0,10.1,78.0
